Protocolo,Execucao,Timestamp,Sucessos,Tentativas,TaxaSucesso,LatenciaMediaMs,LatenciaMinMs,LatenciaMaxMs,BytesRx,PacotesRx,PacotesEnviadosEst,TaxaEntrega,Fluxos0RTT,VarianteTCP,GargaloBw,GargaloDelay,GargaloErro,ServidorBw,ServidorDelay,AcessoBw,AcessoDelay,WiFi,WiFiPadrao,WiFiTaxa,DisciplinaFila,TraficoFundo,TaxaFundo,NosFundo,NumClientes,ConexoesPorCliente,IntervaloConexoes,TimeoutHandshake,Duracao
TCP,0,2026-06-25-07-32-26,0,0,0.00,0.00,0.00,0.00,0,0,0,0.0,0,ns3::TcpNewReno,100Mbps,20ms,0.0,100Mbps,5ms,10Mbps,2ms,0,80211ac,VhtMcs7,ns3::PfifoFastQueueDisc,1,1666666bps,30,0,1,0.5,5.0,30.0
QUIC,0,2026-06-25-07-32-26,5,5,100.00,57.45,57.45,57.45,0,0,0,0.0,0,ns3::TcpNewReno,100Mbps,20ms,0.0,100Mbps,5ms,10Mbps,2ms,0,80211ac,VhtMcs7,ns3::PfifoFastQueueDisc,1,1666666bps,30,5,1,0.5,5.0,30.0
