Protocolo,Execucao,Timestamp,Sucessos,Tentativas,TaxaSucesso,LatenciaMediaMs,LatenciaMinMs,LatenciaMaxMs,BytesRx,PacotesRx,PacotesEnviadosEst,TaxaEntrega,Fluxos0RTT,VarianteTCP,GargaloBw,GargaloDelay,GargaloErro,ServidorBw,ServidorDelay,AcessoBw,AcessoDelay,WiFi,WiFiPadrao,WiFiTaxa,DisciplinaFila,TraficoFundo,TaxaFundo,NosFundo,NumClientes,ConexoesPorCliente,IntervaloConexoes,TimeoutHandshake,Duracao
TCP,0,2026-06-25-07-57-54,0,0,0.00,0.00,0.00,0.00,0,0,0,0.0,0,ns3::TcpNewReno,100Mbps,20ms,0.1,100Mbps,5ms,10Mbps,2ms,1,80211ac,VhtMcs7,ns3::PfifoFastQueueDisc,1,1666666bps,30,0,1,0.5,5.0,30.0
QUIC,0,2026-06-25-07-57-54,3,45,6.67,67.00,58.11,84.29,0,0,0,0.0,0,ns3::TcpNewReno,100Mbps,20ms,0.1,100Mbps,5ms,10Mbps,2ms,1,80211ac,VhtMcs7,ns3::PfifoFastQueueDisc,1,1666666bps,30,45,1,0.5,5.0,30.0
