Protocolo,Execucao,Timestamp,Sucessos,Tentativas,TaxaSucesso,LatenciaMediaMs,LatenciaMinMs,LatenciaMaxMs,BytesRx,PacotesRx,PacotesEnviadosEst,TaxaEntrega,Fluxos0RTT,VarianteTCP,GargaloBw,GargaloDelay,GargaloErro,ServidorBw,ServidorDelay,AcessoBw,AcessoDelay,WiFi,WiFiPadrao,WiFiTaxa,DisciplinaFila,TraficoFundo,TaxaFundo,NosFundo,NumClientes,ConexoesPorCliente,IntervaloConexoes,TimeoutHandshake,Duracao
TCP,0,2026-06-25-04-53-50,0,0,0.00,0.00,0.00,0.00,0,0,0,0.0,0,ns3::TcpNewReno,100Mbps,20ms,0.0,100Mbps,5ms,100Mbps,2ms,1,80211ac,VhtMcs7,ns3::PfifoFastQueueDisc,1,1.00Mbps,30,0,1,0.5,15.0,30.0
QUIC,0,2026-06-25-04-53-50,42,45,93.33,56.73,54.90,80.37,0,0,0,0.0,0,ns3::TcpNewReno,100Mbps,20ms,0.0,100Mbps,5ms,100Mbps,2ms,1,80211ac,VhtMcs7,ns3::PfifoFastQueueDisc,1,1.00Mbps,30,45,1,0.5,15.0,30.0
