FluxoID,Protocolo,Origem,Destino,PortaOrigem,PortaDestino,BytesTx,BytesRx,PacotesTx,PacotesRx,PacotesPerdidos,AtrasoSoma_s,AtrasoMedio_s,Vazao_Mbps
1,UDP,10.11.0.2,10.0.0.1,49153,8000,275626,252869,197,181,18,4.97067,0.0274623,0.71576
2,UDP,10.11.1.2,10.0.0.1,49153,8000,14307,12982,14,12,2,0.343488,0.028624,0.502664
3,UDP,10.11.2.2,10.0.0.1,49153,8000,1274186,1204010,919,869,53,23.8077,0.0273967,0.80809
4,UDP,10.11.3.2,10.0.0.1,49153,8000,829051,789281,591,564,29,15.4801,0.027447,0.844178
5,UDP,10.11.4.2,10.0.0.1,49153,8000,596230,552211,430,403,29,11.0491,0.027417,0.765033
6,UDP,10.11.5.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
7,UDP,10.11.6.2,10.0.0.1,49153,8000,271254,248482,197,181,21,4.98822,0.0275593,0.707459
8,UDP,10.11.7.2,10.0.0.1,49153,8000,668247,636095,478,456,22,12.5295,0.027477,0.901105
9,UDP,10.11.8.2,10.0.0.1,49153,8000,73561,66002,54,49,6,1.36449,0.0278467,0.661989
10,UDP,10.11.9.2,10.0.0.1,49153,8000,1533674,1441667,1093,1029,66,28.1999,0.0274052,0.795941
11,UDP,10.11.10.2,10.0.0.1,49153,8000,695819,657800,499,474,28,13.018,0.0274641,0.844599
12,UDP,10.11.11.2,10.0.0.1,49153,8000,76504,65915,55,48,10,1.34807,0.0280849,0.743154
13,UDP,10.11.12.2,10.0.0.1,49153,8000,934961,883830,665,630,37,17.2858,0.0274378,0.773078
14,UDP,10.11.13.2,10.0.0.1,49153,8000,197679,188656,143,138,5,3.83688,0.0278034,0.964689
15,UDP,10.11.14.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
16,UDP,10.11.15.2,10.0.0.1,49153,8000,15804,14553,15,14,1,0.413696,0.0295497,0.570107
17,UDP,10.11.16.2,10.0.0.1,49153,8000,15804,14553,15,14,1,0.414276,0.0295911,0.569493
18,UDP,10.11.17.2,10.0.0.1,49153,8000,368905,352302,264,253,11,6.98304,0.027601,0.96695
19,UDP,10.11.18.2,10.0.0.1,49153,8000,1249,0,1,0,1,0,0,0
20,UDP,10.11.19.2,10.0.0.1,49153,8000,1410083,1335566,996,947,50,25.9768,0.0274306,0.816177
21,UDP,10.11.20.2,10.0.0.1,49153,8000,465683,438438,335,317,20,8.72504,0.0275238,0.740271
22,UDP,10.11.21.2,10.0.0.1,49153,8000,353765,337077,258,247,14,6.81722,0.0276001,0.922382
23,UDP,10.11.22.2,10.0.0.1,49153,8000,121998,112935,88,82,9,2.29105,0.0279396,0.777421
24,UDP,10.11.23.2,10.0.0.1,49153,8000,2444997,2298188,1729,1632,87,44.7448,0.0274172,0.784994
25,UDP,10.11.24.2,10.0.0.1,49153,8000,729636,692896,522,497,25,13.6926,0.0275506,0.872137
26,UDP,10.11.25.2,10.0.0.1,49153,8000,380449,359160,276,261,15,7.21287,0.0276355,0.853828
27,UDP,10.11.26.2,10.0.0.1,49153,8000,367853,349535,266,253,14,6.98803,0.0276207,0.833816
28,UDP,10.11.27.2,10.0.0.1,49153,8000,760091,714219,547,515,35,14.153,0.0274816,0.798462
29,UDP,10.11.28.2,10.0.0.1,49153,8000,387796,357555,276,256,24,7.07833,0.0276497,0.756341
30,UDP,10.11.29.2,10.0.0.1,49153,8000,1225247,1156170,876,829,50,22.7553,0.0274491,0.808515
31,UDP,10.11.30.2,10.0.0.1,49153,8000,807740,751251,579,542,37,14.8971,0.0274855,0.747301
32,UDP,10.11.31.2,10.0.0.1,49153,8000,1928555,1809157,1347,1269,79,34.818,0.0274374,0.777203
33,UDP,10.11.32.2,10.0.0.1,49153,8000,310442,295261,226,216,12,5.98179,0.0276935,0.894294
34,UDP,10.11.33.2,10.0.0.1,49153,8000,340981,319678,249,234,17,6.4738,0.0276658,0.828444
35,UDP,10.11.34.2,10.0.0.1,49153,8000,673179,654894,484,471,13,12.9651,0.0275267,1.06294
36,UDP,10.11.35.2,10.0.0.1,49153,8000,2830678,2645560,2004,1872,102,51.3108,0.0274096,0.752333
37,UDP,10.11.36.2,10.0.0.1,49153,8000,320892,305760,232,222,10,6.1761,0.0278203,0.846791
38,UDP,10.11.37.2,10.0.0.1,49153,8000,358465,331174,260,242,20,6.69954,0.027684,0.732078
39,UDP,10.11.38.2,10.0.0.1,49153,8000,156292,150182,113,108,8,3.03442,0.0280965,0.922366
40,UDP,10.11.39.2,10.0.0.1,49153,8000,220933,208820,162,155,9,4.32739,0.0279187,0.880987
41,UDP,10.11.40.2,10.0.0.1,49153,8000,775041,733685,554,526,28,14.4924,0.027552,0.82364
42,UDP,10.11.41.2,10.0.0.1,49153,8000,2413800,2281403,1697,1610,80,44.1614,0.0274294,0.780237
43,UDP,10.11.42.2,10.0.0.1,49153,8000,164791,152621,119,110,11,3.09807,0.0281643,0.975591
44,UDP,10.11.43.2,10.0.0.1,49153,8000,241848,225178,175,163,13,4.53249,0.0278067,0.692724
45,UDP,10.11.44.2,10.0.0.1,49153,8000,2417663,2268586,1687,1591,87,43.6459,0.027433,0.795902
46,UDP,10.0.0.1,10.11.0.2,49153,49153,6116,5981,102,100,2,2.7015,0.027015,0.0169291
47,UDP,10.0.0.1,10.11.1.2,49154,49153,498,452,9,8,1,0.216125,0.0270157,0.0237596
48,UDP,10.0.0.1,10.11.2.2,49155,49153,46451,45833,470,464,6,12.5393,0.0270244,0.0307618
49,UDP,10.0.0.1,10.11.3.2,49156,49153,24734,23680,301,291,10,7.86292,0.0270203,0.0252615
50,UDP,10.0.0.1,10.11.4.2,49157,49153,17422,17048,225,221,4,5.97126,0.0270193,0.0235585
51,UDP,10.0.0.1,10.11.6.2,49158,49153,6311,5885,99,94,5,2.53947,0.0270157,0.0167585
