Protocolo,Inicio,LatenciaMs,Sucesso,MotivoFalha,Is0RTT
QUIC,1.07,65.8447,1,,0
QUIC,1.07424,64.0742,1,,0
QUIC,1.07937,59.1708,1,,0
QUIC,1.081,57.713,1,,0
QUIC,1.0782,60.7343,1,,0
QUIC,1.0834,57.7263,1,,0
QUIC,1.08686,55.3253,1,,0
QUIC,1.08852,55.7049,1,,0
QUIC,1.09149,56.7554,1,,0
QUIC,1.09406,55.6505,1,,0
QUIC,1.09608,55.9216,1,,0
QUIC,1.09847,56.1168,1,,0
QUIC,1.09988,58.058,1,,0
QUIC,1.10088,57.8641,1,,0
QUIC,1.10339,58.0557,1,,0
QUIC,1.10593,57.3932,1,,0
QUIC,1.10733,59.3971,1,,0
QUIC,2.07176,56.3315,1,,0
QUIC,2.07344,67.1857,1,,0
QUIC,2.07209,76.9182,1,,0
